VM ID,Actual CPU,Length,Input Size,Output Size,End Time
21,0.33,262,742,22,6.92
22,0.11,40,272,730,6.92
4,0.55,543,186,5,7.03
5,0.88,778,718,284,7.03
7,0.55,548,675,267,7.03
10,0.77,769,647,520,7.03
13,0.22,142,279,574,7.03
17,0.77,716,179,275,7.03
23,0.22,152,395,280,7.03
0,0.77,726,669,421,7.14
4,0.11,55,556,15,7.14
8,0.88,826,42,189,7.14
24,0.99,965,727,184,7.14
0,0.11,92,439,283,7.25
13,0.22,147,486,370,7.25
17,0.22,217,259,424,7.25
1,0.99,935,4,747,7.36
11,0.44,342,727,738,7.36
14,0.55,524,100,196,7.36
20,0.44,362,185,180,7.36
24,0.22,198,572,173,7.36
0,0.22,172,402,352,7.47
1,0.11,86,161,288,7.47
3,0.99,940,664,558,7.47
12,0.99,906,79,489,7.47
17,0.22,198,686,83,7.47
18,0.88,841,709,589,7.47
22,0.55,519,424,630,7.47
2,0.88,860,129,151,7.58
10,0.55,482,566,168,7.58
21,0.66,660,686,172,7.58
0,0.22,216,39,202,7.69
1,0.22,122,347,412,7.69
2,0.11,7,650,697,7.69
6,0.77,732,299,7,7.69
9,0.77,698,45,442,7.69
11,0.33,279,566,518,7.69
13,0.44,349,630,559,7.69
17,0.22,149,36,386,7.69
19,0.77,700,558,620,7.69
3,0.33,317,198,559,7.8
15,0.99,942,738,347,7.8
5,0.88,807,694,529,7.91
7,0.88,877,72,386,7.91
8,0.77,757,411,718,7.91
9,0.22,138,139,717,7.91
12,0.44,375,563,310,7.91
16,1.1,997,20,417,7.91
21,0.33,255,318,504,7.91
23,0.88,845,669,659,7.91
24,0.55,545,132,216,7.91
4,0.88,841,603,749,8.02
8,0.11,71,123,136,8.02
9,0.11,90,704,446,8.02
14,0.66,583,616,110,8.02
16,0.11,61,240,207,8.02
18,0.55,522,698,473,8.02
19,0.33,267,75,396,8.02
20,0.66,555,520,677,8.02
4,0.11,54,193,507,8.13
11,0.44,384,293,207,8.13
12,0.33,276,356,590,8.24
12,0.11,80,685,533,8.35
13,0.66,634,537,84,8.35
0,0.77,662,495,499,8.46
3,0.66,636,48,118,8.46
10,0.88,861,734,589,8.46
15,0.66,584,707,625,8.46
17,0.77,749,702,363,8.46
24,0.55,549,214,315,8.46
18,0.55,509,725,7,8.57
19,0.55,522,385,1,8.57
22,1.1,992,133,290,8.57
23,0.66,583,126,192,8.57
24,0.11,15,249,109,8.57
1,0.99,931,668,26,8.68
